T(K)        G17/(RT)
1.30000e+03 1.59847217e+01
1.31106e+03 1.59806650e+01
1.32211e+03 1.59766761e+01
1.33317e+03 1.59727534e+01
1.34422e+03 1.59688952e+01
1.35528e+03 1.59650999e+01
1.36633e+03 1.59613661e+01
1.37739e+03 1.59576922e+01
1.38844e+03 1.59540768e+01
1.39950e+03 1.59505185e+01
1.41055e+03 1.59470161e+01
1.42161e+03 1.59435680e+01
1.43266e+03 1.59401732e+01
1.44372e+03 1.59368304e+01
1.45477e+03 1.59335384e+01
1.46583e+03 1.59302961e+01
1.47688e+03 1.59271023e+01
1.48794e+03 1.59239559e+01
1.49899e+03 1.59208560e+01
1.51005e+03 1.59178014e+01
1.52111e+03 1.59147913e+01
1.53216e+03 1.59118246e+01
1.54322e+03 1.59089004e+01
1.55427e+03 1.59060177e+01
1.56533e+03 1.59031759e+01
1.57638e+03 1.59003738e+01
1.58744e+03 1.58976108e+01
1.59849e+03 1.58948860e+01
1.60955e+03 1.58921987e+01
1.62060e+03 1.58895480e+01
1.63166e+03 1.58869332e+01
1.64271e+03 1.58843537e+01
1.65377e+03 1.58818086e+01
1.66482e+03 1.58792973e+01
1.67588e+03 1.58768192e+01
1.68693e+03 1.58743735e+01
1.69799e+03 1.58719597e+01
1.70905e+03 1.58695771e+01
1.72010e+03 1.58672251e+01
1.73116e+03 1.58649032e+01
1.74221e+03 1.58626107e+01
1.75327e+03 1.58603472e+01
1.76432e+03 1.58581120e+01
1.77538e+03 1.58559046e+01
1.78643e+03 1.58537246e+01
1.79749e+03 1.58515714e+01
1.80854e+03 1.58494445e+01
1.81960e+03 1.58473435e+01
1.83065e+03 1.58452678e+01
1.84171e+03 1.58432171e+01
1.85276e+03 1.58411908e+01
1.86382e+03 1.58391886e+01
1.87487e+03 1.58372099e+01
1.88593e+03 1.58352545e+01
1.89698e+03 1.58333219e+01
1.90804e+03 1.58314116e+01
1.91910e+03 1.58295234e+01
1.93015e+03 1.58276568e+01
1.94121e+03 1.58258115e+01
1.95226e+03 1.58239870e+01
1.96332e+03 1.58221831e+01
1.97437e+03 1.58203995e+01
1.98543e+03 1.58186356e+01
1.99648e+03 1.58168913e+01
2.00754e+03 1.58151663e+01
2.01859e+03 1.58134601e+01
2.02965e+03 1.58117725e+01
2.04070e+03 1.58101032e+01
2.05176e+03 1.58084518e+01
2.06281e+03 1.58068182e+01
2.07387e+03 1.58052020e+01
2.08492e+03 1.58036029e+01
2.09598e+03 1.58020207e+01
2.10704e+03 1.58004551e+01
2.11809e+03 1.57989059e+01
2.12915e+03 1.57973727e+01
2.14020e+03 1.57958554e+01
2.15126e+03 1.57943537e+01
2.16231e+03 1.57928673e+01
2.17337e+03 1.57913960e+01
2.18442e+03 1.57899397e+01
2.19548e+03 1.57884980e+01
2.20653e+03 1.57870707e+01
2.21759e+03 1.57856577e+01
2.22864e+03 1.57842587e+01
2.23970e+03 1.57828735e+01
2.25075e+03 1.57815019e+01
2.26181e+03 1.57801438e+01
2.27286e+03 1.57787988e+01
2.28392e+03 1.57774669e+01
2.29497e+03 1.57761478e+01
2.30603e+03 1.57748413e+01
2.31709e+03 1.57735473e+01
2.32814e+03 1.57722656e+01
2.33920e+03 1.57709960e+01
2.35025e+03 1.57697384e+01
2.36131e+03 1.57684925e+01
2.37236e+03 1.57672582e+01
2.38342e+03 1.57660354e+01
2.39447e+03 1.57648239e+01
2.40553e+03 1.57636235e+01
2.41658e+03 1.57624342e+01
2.42764e+03 1.57612556e+01
2.43869e+03 1.57600877e+01
2.44975e+03 1.57589304e+01
2.46080e+03 1.57577834e+01
2.47186e+03 1.57566468e+01
2.48291e+03 1.57555202e+01
2.49397e+03 1.57544036e+01
2.50503e+03 1.57532969e+01
2.51608e+03 1.57521999e+01
2.52714e+03 1.57511125e+01
2.53819e+03 1.57500346e+01
2.54925e+03 1.57489660e+01
2.56030e+03 1.57479067e+01
2.57136e+03 1.57468565e+01
2.58241e+03 1.57458152e+01
2.59347e+03 1.57447829e+01
2.60452e+03 1.57437593e+01
2.61558e+03 1.57427443e+01
2.62663e+03 1.57417379e+01
2.63769e+03 1.57407400e+01
2.64874e+03 1.57397503e+01
2.65980e+03 1.57387689e+01
2.67085e+03 1.57377956e+01
2.68191e+03 1.57368304e+01
2.69296e+03 1.57358730e+01
2.70402e+03 1.57349235e+01
2.71508e+03 1.57339817e+01
2.72613e+03 1.57330476e+01
2.73719e+03 1.57321210e+01
2.74824e+03 1.57312019e+01
2.75930e+03 1.57302901e+01
2.77035e+03 1.57293856e+01
2.78141e+03 1.57284883e+01
2.79246e+03 1.57275981e+01
2.80352e+03 1.57267149e+01
2.81457e+03 1.57258387e+01
2.82563e+03 1.57249693e+01
2.83668e+03 1.57241067e+01
2.84774e+03 1.57232508e+01
2.85879e+03 1.57224015e+01
2.86985e+03 1.57215588e+01
2.88090e+03 1.57207225e+01
2.89196e+03 1.57198926e+01
2.90302e+03 1.57190690e+01
2.91407e+03 1.57182517e+01
2.92513e+03 1.57174406e+01
2.93618e+03 1.57166356e+01
2.94724e+03 1.57158366e+01
2.95829e+03 1.57150436e+01
2.96935e+03 1.57142564e+01
2.98040e+03 1.57134752e+01
2.99146e+03 1.57126997e+01
3.00251e+03 1.57119299e+01
3.01357e+03 1.57111657e+01
3.02462e+03 1.57104072e+01
3.03568e+03 1.57096542e+01
3.04673e+03 1.57089066e+01
3.05779e+03 1.57081644e+01
3.06884e+03 1.57074276e+01
3.07990e+03 1.57066961e+01
3.09095e+03 1.57059698e+01
3.10201e+03 1.57052487e+01
3.11307e+03 1.57045327e+01
3.12412e+03 1.57038218e+01
3.13518e+03 1.57031159e+01
3.14623e+03 1.57024149e+01
3.15729e+03 1.57017189e+01
3.16834e+03 1.57010277e+01
3.17940e+03 1.57003413e+01
3.19045e+03 1.56996597e+01
3.20151e+03 1.56989828e+01
3.21256e+03 1.56983105e+01
3.22362e+03 1.56976429e+01
3.23467e+03 1.56969798e+01
3.24573e+03 1.56963213e+01
3.25678e+03 1.56956672e+01
3.26784e+03 1.56950175e+01
3.27889e+03 1.56943722e+01
3.28995e+03 1.56937313e+01
3.30101e+03 1.56930946e+01
3.31206e+03 1.56924622e+01
3.32312e+03 1.56918340e+01
3.33417e+03 1.56912100e+01
3.34523e+03 1.56905901e+01
3.35628e+03 1.56899743e+01
3.36734e+03 1.56893625e+01
3.37839e+03 1.56887547e+01
3.38945e+03 1.56881509e+01
3.40050e+03 1.56875510e+01
3.41156e+03 1.56869550e+01
3.42261e+03 1.56863629e+01
3.43367e+03 1.56857746e+01
3.44472e+03 1.56851900e+01
3.45578e+03 1.56846092e+01
3.46683e+03 1.56840321e+01
3.47789e+03 1.56834586e+01
3.48894e+03 1.56828888e+01
3.50000e+03 1.56823226e+01
