T(K)        G11/(RT)
1.30000e+03 3.75533010e+01
1.31106e+03 3.70475291e+01
1.32211e+03 3.65504534e+01
1.33317e+03 3.60618555e+01
1.34422e+03 3.55815243e+01
1.35528e+03 3.51092554e+01
1.36633e+03 3.46448512e+01
1.37739e+03 3.41881204e+01
1.38844e+03 3.37388778e+01
1.39950e+03 3.32969440e+01
1.41055e+03 3.28621456e+01
1.42161e+03 3.24343141e+01
1.43266e+03 3.20132866e+01
1.44372e+03 3.15989052e+01
1.45477e+03 3.11910165e+01
1.46583e+03 3.07894721e+01
1.47688e+03 3.03941280e+01
1.48794e+03 3.00048442e+01
1.49899e+03 2.96214853e+01
1.51005e+03 2.92439195e+01
1.52111e+03 2.88720191e+01
1.53216e+03 2.85056600e+01
1.54322e+03 2.81447217e+01
1.55427e+03 2.77890871e+01
1.56533e+03 2.74386425e+01
1.57638e+03 2.70932773e+01
1.58744e+03 2.67528841e+01
1.59849e+03 2.64173584e+01
1.60955e+03 2.60865987e+01
1.62060e+03 2.57605062e+01
1.63166e+03 2.54389848e+01
1.64271e+03 2.51219410e+01
1.65377e+03 2.48092839e+01
1.66482e+03 2.45009248e+01
1.67588e+03 2.41967776e+01
1.68693e+03 2.38967584e+01
1.69799e+03 2.36007854e+01
1.70905e+03 2.33087791e+01
1.72010e+03 2.30206619e+01
1.73116e+03 2.27363582e+01
1.74221e+03 2.24557945e+01
1.75327e+03 2.21788989e+01
1.76432e+03 2.19056016e+01
1.77538e+03 2.16358344e+01
1.78643e+03 2.13695308e+01
1.79749e+03 2.11066258e+01
1.80854e+03 2.08470564e+01
1.81960e+03 2.05907607e+01
1.83065e+03 2.03376786e+01
1.84171e+03 2.00877513e+01
1.85276e+03 1.98409216e+01
1.86382e+03 1.95971333e+01
1.87487e+03 1.93563320e+01
1.88593e+03 1.91184642e+01
1.89698e+03 1.88834778e+01
1.90804e+03 1.86513221e+01
1.91910e+03 1.84219472e+01
1.93015e+03 1.81953046e+01
1.94121e+03 1.79713469e+01
1.95226e+03 1.77500278e+01
1.96332e+03 1.75313019e+01
1.97437e+03 1.73151249e+01
1.98543e+03 1.71014535e+01
1.99648e+03 1.68902455e+01
2.00754e+03 1.66814595e+01
2.01859e+03 1.64750549e+01
2.02965e+03 1.62709922e+01
2.04070e+03 1.60692327e+01
2.05176e+03 1.58697385e+01
2.06281e+03 1.56724725e+01
2.07387e+03 1.54773985e+01
2.08492e+03 1.52844810e+01
2.09598e+03 1.50936852e+01
2.10704e+03 1.49049772e+01
2.11809e+03 1.47183237e+01
2.12915e+03 1.45336920e+01
2.14020e+03 1.43510503e+01
2.15126e+03 1.41703673e+01
2.16231e+03 1.39916124e+01
2.17337e+03 1.38147557e+01
2.18442e+03 1.36397678e+01
2.19548e+03 1.34666198e+01
2.20653e+03 1.32952837e+01
2.21759e+03 1.31257318e+01
2.22864e+03 1.29579370e+01
2.23970e+03 1.27918729e+01
2.25075e+03 1.26275133e+01
2.26181e+03 1.24648329e+01
2.27286e+03 1.23038065e+01
2.28392e+03 1.21444098e+01
2.29497e+03 1.19866187e+01
2.30603e+03 1.18304096e+01
2.31709e+03 1.16757594e+01
2.32814e+03 1.15226455e+01
2.33920e+03 1.13710456e+01
2.35025e+03 1.12209380e+01
2.36131e+03 1.10723011e+01
2.37236e+03 1.09251140e+01
2.38342e+03 1.07793562e+01
2.39447e+03 1.06350073e+01
2.40553e+03 1.04920475e+01
2.41658e+03 1.03504575e+01
2.42764e+03 1.02102179e+01
2.43869e+03 1.00713102e+01
2.44975e+03 9.93371574e+00
2.46080e+03 9.79741654e+00
2.47186e+03 9.66239482e+00
2.48291e+03 9.52863312e+00
2.49397e+03 9.39611431e+00
2.50503e+03 9.26482154e+00
2.51608e+03 9.13473829e+00
2.52714e+03 9.00584831e+00
2.53819e+03 8.87813566e+00
2.54925e+03 8.75158464e+00
2.56030e+03 8.62617985e+00
2.57136e+03 8.50190617e+00
2.58241e+03 8.37874871e+00
2.59347e+03 8.25669285e+00
2.60452e+03 8.13572423e+00
2.61558e+03 8.01582872e+00
2.62663e+03 7.89699243e+00
2.63769e+03 7.77920173e+00
2.64874e+03 7.66244318e+00
2.65980e+03 7.54670360e+00
2.67085e+03 7.43197002e+00
2.68191e+03 7.31822966e+00
2.69296e+03 7.20547000e+00
2.70402e+03 7.09367868e+00
2.71508e+03 6.98284358e+00
2.72613e+03 6.87295276e+00
2.73719e+03 6.76399447e+00
2.74824e+03 6.65595715e+00
2.75930e+03 6.54882946e+00
2.77035e+03 6.44260020e+00
2.78141e+03 6.33725837e+00
2.79246e+03 6.23279314e+00
2.80352e+03 6.12919386e+00
2.81457e+03 6.02645005e+00
2.82563e+03 5.92455138e+00
2.83668e+03 5.82348770e+00
2.84774e+03 5.72324900e+00
2.85879e+03 5.62382545e+00
2.86985e+03 5.52520736e+00
2.88090e+03 5.42738519e+00
2.89196e+03 5.33034954e+00
2.90302e+03 5.23409116e+00
2.91407e+03 5.13860096e+00
