T(K)        G6/(RT)
1.30000e+03 4.04546489e+00
1.31106e+03 3.99911990e+00
1.32211e+03 3.95354998e+00
1.33317e+03 3.90873584e+00
1.34422e+03 3.86465882e+00
1.35528e+03 3.82130090e+00
1.36633e+03 3.77864461e+00
1.37739e+03 3.73667306e+00
1.38844e+03 3.69536990e+00
1.39950e+03 3.65471928e+00
1.41055e+03 3.61470587e+00
1.42161e+03 3.57531479e+00
1.43266e+03 3.53653164e+00
1.44372e+03 3.49834246e+00
1.45477e+03 3.46073370e+00
1.46583e+03 3.42369223e+00
1.47688e+03 3.38720530e+00
1.48794e+03 3.35126057e+00
1.49899e+03 3.31584604e+00
1.51005e+03 3.28095005e+00
1.52111e+03 3.24656131e+00
1.53216e+03 3.21266882e+00
1.54322e+03 3.17926194e+00
1.55427e+03 3.14633029e+00
1.56533e+03 3.11386381e+00
1.57638e+03 3.08185270e+00
1.58744e+03 3.05028746e+00
1.59849e+03 3.01915884e+00
1.60955e+03 2.98845783e+00
1.62060e+03 2.95817569e+00
1.63166e+03 2.92830391e+00
1.64271e+03 2.89883418e+00
1.65377e+03 2.86975847e+00
1.66482e+03 2.84106891e+00
1.67588e+03 2.81275786e+00
1.68693e+03 2.78481788e+00
1.69799e+03 2.75724173e+00
1.70905e+03 2.73002234e+00
1.72010e+03 2.70315283e+00
1.73116e+03 2.67662651e+00
1.74221e+03 2.65043683e+00
1.75327e+03 2.62457743e+00
1.76432e+03 2.59904210e+00
1.77538e+03 2.57382479e+00
1.78643e+03 2.54891960e+00
1.79749e+03 2.52432075e+00
1.80854e+03 2.50002265e+00
1.81960e+03 2.47601980e+00
1.83065e+03 2.45230685e+00
1.84171e+03 2.42887859e+00
1.85276e+03 2.40572991e+00
1.86382e+03 2.38285585e+00
1.87487e+03 2.36025155e+00
1.88593e+03 2.33791226e+00
1.89698e+03 2.31583334e+00
1.90804e+03 2.29401028e+00
1.91910e+03 2.27243865e+00
1.93015e+03 2.25111413e+00
1.94121e+03 2.23003250e+00
1.95226e+03 2.20918963e+00
1.96332e+03 2.18858149e+00
1.97437e+03 2.16820414e+00
1.98543e+03 2.14805372e+00
1.99648e+03 2.12812646e+00
2.00754e+03 2.10841867e+00
2.01859e+03 2.08892675e+00
2.02965e+03 2.06964717e+00
2.04070e+03 2.05057648e+00
2.05176e+03 2.03171131e+00
2.06281e+03 2.01304834e+00
2.07387e+03 1.99458435e+00
2.08492e+03 1.97631617e+00
2.09598e+03 1.95824070e+00
2.10704e+03 1.94035490e+00
2.11809e+03 1.92265582e+00
2.12915e+03 1.90514054e+00
2.14020e+03 1.88780621e+00
2.15126e+03 1.87065003e+00
2.16231e+03 1.85366929e+00
2.17337e+03 1.83686130e+00
2.18442e+03 1.82022344e+00
2.19548e+03 1.80375314e+00
2.20653e+03 1.78744788e+00
2.21759e+03 1.77130519e+00
2.22864e+03 1.75532266e+00
2.23970e+03 1.73949791e+00
2.25075e+03 1.72382861e+00
2.26181e+03 1.70831249e+00
2.27286e+03 1.69294731e+00
2.28392e+03 1.67773088e+00
2.29497e+03 1.66266105e+00
2.30603e+03 1.64773571e+00
2.31709e+03 1.63295280e+00
2.32814e+03 1.61831028e+00
2.33920e+03 1.60380617e+00
2.35025e+03 1.58943850e+00
2.36131e+03 1.57520537e+00
2.37236e+03 1.56110490e+00
2.38342e+03 1.54713523e+00
2.39447e+03 1.53329455e+00
2.40553e+03 1.51958110e+00
2.41658e+03 1.50599312e+00
2.42764e+03 1.49252889e+00
2.43869e+03 1.47918674e+00
2.44975e+03 1.46596501e+00
2.46080e+03 1.45286207e+00
2.47186e+03 1.43987635e+00
2.48291e+03 1.42700626e+00
2.49397e+03 1.41425027e+00
2.50503e+03 1.40160687e+00
2.51608e+03 1.38907458e+00
2.52714e+03 1.37665194e+00
2.53819e+03 1.36433751e+00
2.54925e+03 1.35212989e+00
2.56030e+03 1.34002770e+00
2.57136e+03 1.32802956e+00
2.58241e+03 1.31613416e+00
2.59347e+03 1.30434017e+00
2.60452e+03 1.29264630e+00
2.61558e+03 1.28105129e+00
2.62663e+03 1.26955388e+00
2.63769e+03 1.25815285e+00
2.64874e+03 1.24684699e+00
2.65980e+03 1.23563511e+00
2.67085e+03 1.22451605e+00
2.68191e+03 1.21348866e+00
2.69296e+03 1.20255181e+00
2.70402e+03 1.19170439e+00
2.71508e+03 1.18094531e+00
2.72613e+03 1.17027349e+00
2.73719e+03 1.15968787e+00
2.74824e+03 1.14918742e+00
2.75930e+03 1.13877111e+00
2.77035e+03 1.12843794e+00
2.78141e+03 1.11818691e+00
2.79246e+03 1.10801704e+00
2.80352e+03 1.09792738e+00
2.81457e+03 1.08791699e+00
2.82563e+03 1.07798492e+00
2.83668e+03 1.06813027e+00
2.84774e+03 1.05835213e+00
2.85879e+03 1.04864963e+00
2.86985e+03 1.03902187e+00
2.88090e+03 1.02946800e+00
2.89196e+03 1.01998718e+00
2.90302e+03 1.01057857e+00
2.91407e+03 1.00124135e+00
2.92513e+03 9.91974702e-01
2.93618e+03 9.82777839e-01
2.94724e+03 9.73649971e-01
2.95829e+03 9.64590327e-01
2.96935e+03 9.55598142e-01
2.98040e+03 9.46672668e-01
2.99146e+03 9.37813164e-01
3.00251e+03 9.29018901e-01
3.01357e+03 9.20289162e-01
3.02462e+03 9.11623239e-01
3.03568e+03 9.03020435e-01
3.04673e+03 8.94480062e-01
3.05779e+03 8.86001444e-01
3.06884e+03 8.77583913e-01
3.07990e+03 8.69226812e-01
3.09095e+03 8.60929491e-01
3.10201e+03 8.52691312e-01
3.11307e+03 8.44511645e-01
3.12412e+03 8.36389868e-01
3.13518e+03 8.28325370e-01
3.14623e+03 8.20317546e-01
3.15729e+03 8.12365800e-01
3.16834e+03 8.04469547e-01
3.17940e+03 7.96628207e-01
3.19045e+03 7.88841209e-01
3.20151e+03 7.81107990e-01
3.21256e+03 7.73427996e-01
3.22362e+03 7.65800678e-01
3.23467e+03 7.58225496e-01
3.24573e+03 7.50701918e-01
3.25678e+03 7.43229418e-01
3.26784e+03 7.35807478e-01
3.27889e+03 7.28435586e-01
3.28995e+03 7.21113238e-01
3.30101e+03 7.13839936e-01
3.31206e+03 7.06615189e-01
3.32312e+03 6.99438512e-01
3.33417e+03 6.92309428e-01
3.34523e+03 6.85227463e-01
3.35628e+03 6.78192154e-01
3.36734e+03 6.71203039e-01
3.37839e+03 6.64259666e-01
3.38945e+03 6.57361587e-01
3.40050e+03 6.50508361e-01
3.41156e+03 6.43699550e-01
3.42261e+03 6.36934726e-01
3.43367e+03 6.30213462e-01
3.44472e+03 6.23535341e-01
3.45578e+03 6.16899946e-01
3.46683e+03 6.10306871e-01
3.47789e+03 6.03755710e-01
3.48894e+03 5.97246067e-01
3.50000e+03 5.90777547e-01
